"opr_date","nodename","he01","he02","he03","he04","he05","he06","he07","he08","he09","he10","he11","he12","he13","he14","he15","he16","he17","he18","he19","he20","he21","he22","he23","he24","updated_at"
2024-12-16,EPE,782.80,772.90,780.80,805.70,871.90,952.30,968.70,932.40,901.50,855.20,841.00,820.70,819.70,841.60,878.50,926.20,1019.10,1046.00,1052.70,1035.00,996.20,930.70,864.60,825.40,2024-12-16 06:20:08.380 -0800
2025-11-21,IPCO,1785.98,1775.37,1789.01,1805.73,1896.34,2048.14,2170.23,2215.36,2192.84,2149.70,2109.52,2040.78,1990.72,1950.66,1899.95,1967.22,2053.05,2050.03,2034.29,2015.89,1970.41,1902.15,1848.33,1830.06,2025-11-16 06:17:39.717 -0800
2024-07-25,LADWP,3000.50,2784.90,2609.50,2511.50,2462.10,2508.40,2621.20,2820.70,3046.70,3329.10,3581.10,3849.80,4119.60,4382.70,4623.70,4773.20,4821.50,4882.30,4673.20,4390.00,4211.70,4025.40,3697.90,3323.90,2024-07-25 07:17:54.263 -0700
2024-07-25,CA ISO-TAC,28780.06,29624.73,25727.79,24676.17,27059.21,27789.49,25905.67,26809.51,30041.03,27143.74,27745.99,32050.78,31301.98,33508.53,38093.67,37507.49,38799.99,40006.02,43632.68,42723.98,38433.44,39656.45,36643.79,31002.79,2024-07-25 07:17:54.263 -0700
2024-07-26,CA ISO-TAC,28507.09,28901.69,27269.50,24462.81,26295.12,24654.88,25204.73,28615.81,25911.77,28833.68,26463.40,29967.82,31103.79,33020.49,32543.46,37010.77,38637.78,37166.05,37336.44,36523.68,38528.26,33723.73,34762.86,31942.03,2024-07-26 07:17:55.846 -0700
2024-07-26,EPE,1136.80,1032.90,1027.80,997.00,1009.70,1044.90,1086.40,1138.70,1230.60,1343.00,1451.70,1564.00,1684.10,1794.40,1906.40,1943.60,1974.00,1960.60,1829.60,1763.10,1642.60,1513.30,1384.10,1292.90,2024-07-26 07:17:55.846 -0700
2024-07-26,SRP,4517.48,4273.01,4132.90,4013.34,4043.13,4003.97,4167.78,4377.90,4697.14,5197.36,5254.19,6058.42,6504.29,6856.81,7169.19,7216.86,7323.27,7263.27,7169.80,6768.40,6554.26,6217.22,5804.36,5453.13,2024-07-26 07:17:55.846 -0700
2024-07-26,BCHA,5883.50,5637.80,5463.20,5393.60,5394.00,5556.30,5943.00,6450.30,6897.20,7124.40,7145.40,7372.60,7452.60,7517.40,7530.00,7578.60,7614.80,7732.30,7618.00,7409.30,7221.90,7194.80,6876.70,6480.30,2024-07-26 07:17:55.846 -0700
2024-07-26,VEA-TAC,76.44,67.70,62.92,59.60,60.40,60.92,61.20,67.80,75.10,81.06,93.76,101.48,109.19,115.44,121.48,124.45,126.49,126.66,123.98,115.61,108.34,97.66,87.54,79.72,2024-07-26 07:17:55.846 -0700
2024-07-26,SCL,788.50,750.50,718.10,717.80,728.90,765.60,841.20,911.60,963.40,1002.70,1016.10,1028.70,1050.60,1064.80,1067.30,1080.90,1095.60,1096.50,1064.80,1027.80,1003.70,994.80,953.20,892.00,2024-07-26 07:17:55.846 -0700
