"asset_xref","schedulingcoordinator_seq","resourcebid_seq","resource_type","resource_xref","resource_mask","dyn_label","gen_type","max_bid","asset_xref","gen_xref","resource_id","classification","qf","resource_agg_type","parent_resource_id","resource_type","gen_unit_name","net_dependable_capacity","nameplate_capacity","pto_area","owner_or_qf","unit_type","energy_source","zone","cod","river_system","baa_id","udc"
1001544,542406,664489,GENERATOR,1001559,664489,,,80,1001544,,,,,,,,,,,,,,,,,,,
1001559,626300,152702,GENERATOR,1001543,152702,,,,1001559,,,,,,,,,,,,,,,,,,,
1001560,832672,961578,GENERATOR,1000504,961578,,,,1001560,,,,,,,,,,,,,,,,,,,
1001579,629058,908243,GENERATOR,1001705,908243,,,,1001579,,,,,,,,,,,,,,,,,,,
1001582,505359,273309,GENERATOR,1001743,273309,,,,1001582,,,,,,,,,,,,,,,,,,,
1001587,440104,982044,GENERATOR,1001552,982044,,,60,1001587,,,,,,,,,,,,,,,,,,,
1001620,505359,466677,GENERATOR,1001817,466677,,,110,1001620,,,,,,,,,,,,,,,,,,,
1001633,275276,174158,GENERATOR,1001670,174158,,,,1001633,,,,,,,,,,,,,,,,,,,
1001639,252033,469814,GENERATOR,1001498,469814,,,,1001639,,,,,,,,,,,,,,,,,,,
1001660,434510,583036,GENERATOR,1001556,583036,,,,1001660,,,,,,,,,,,,,,,,,,,
1001662,522779,648477,GENERATOR,1001714,648477,,,,1001662,,,,,,,,,,,,,,,,,,,
1001679,386315,838717,GENERATOR,1001719,838717,,,,1001679,,,,,,,,,,,,,,,,,,,
1001708,440217,910943,GENERATOR,1001548,910943,,,,1001708,,,,,,,,,,,,,,,,,,,
1001719,766049,727885,GENERATOR,1001797,727885,,,,1001719,,,,,,,,,,,,,,,,,,,
1001725,410435,483575,GENERATOR,1001562,483575,,,,1001725,,,,,,,,,,,,,,,,,,,
