"asset_xref","schedulingcoordinator_seq","resourcebid_seq","resource_type"
1000560,305894,754274,GENERATOR
1000561,505359,147735,GENERATOR
1000562,640802,462999,GENERATOR
1000563,640802,693543,GENERATOR
1000564,316786,111621,GENERATOR
1000565,505359,453728,GENERATOR
1000566,138185,996717,GENERATOR
1000567,106455,163405,GENERATOR
1000568,621200,154578,GENERATOR
1000569,505359,749205,GENERATOR
1000570,712391,905624,LOAD
1000571,139213,100919,GENERATOR
1000572,138185,126347,GENERATOR
1000573,183905,131334,LOAD
1000574,187496,208876,GENERATOR
1000575,138185,279401,GENERATOR
1000576,339577,156654,INTERTIE
1000577,505359,458056,GENERATOR
1000578,505359,205660,GENERATOR
1000579,798741,568422,LOAD
1000580,602709,141180,GENERATOR
1000581,117679,994055,GENERATOR
1000582,187496,515655,GENERATOR
1000583,543855,217812,INTERTIE
1000584,316786,705142,GENERATOR
1000585,648698,189802,GENERATOR
1000586,108158,134578,LOAD
1000587,153531,111196,GENERATOR
1000588,621200,454499,GENERATOR
1000589,187496,317978,GENERATOR
1000590,153531,212198,GENERATOR
1000591,139213,132762,GENERATOR
1000592,112406,128777,LOAD
1000593,257596,497123,GENERATOR
1000594,138185,878952,GENERATOR
1000595,505359,193756,GENERATOR
1000596,339577,246186,INTERTIE
1000597,187496,580977,GENERATOR
1000598,139213,696630,GENERATOR
1000599,640943,845301,INTERTIE
1000600,667911,154940,LOAD
1000601,138185,540679,GENERATOR
1000602,187496,166745,GENERATOR
1000603,187496,915669,GENERATOR
1000604,505359,882665,GENERATOR
1000605,139213,883285,GENERATOR
1000606,167125,741914,INTERTIE
1000607,541979,457048,GENERATOR
1000608,735081,116825,GENERATOR
1000609,139213,157358,GENERATOR
1000610,709294,919446,GENERATOR
1000611,621200,766252,GENERATOR
1000612,153531,628139,GENERATOR
1000613,417454,145917,GENERATOR
1000614,138185,334638,GENERATOR
1000615,505359,395131,GENERATOR
1000616,505359,193686,GENERATOR
1000617,575998,347185,LOAD
1000618,165869,206601,GENERATOR
1000619,242731,911243,INTERTIE
1000620,139213,738714,GENERATOR
1000621,505359,514243,GENERATOR
1000622,139213,105670,GENERATOR
1000623,505359,318539,GENERATOR
1000624,242731,159511,GENERATOR
1000625,505359,141164,GENERATOR
1000626,640802,469253,GENERATOR
1000627,211345,934846,GENERATOR
1000628,195492,230140,LOAD
1000629,138185,564181,GENERATOR
1000630,505359,142476,GENERATOR
1000631,505359,856960,GENERATOR
1000632,907664,176822,GENERATOR
1000633,165289,127388,GENERATOR
1000634,130043,123833,GENERATOR
1000635,640802,469821,GENERATOR
1000636,211849,114138,GENERATOR
1000637,725439,101363,GENERATOR
1000638,187496,829032,GENERATOR
1000639,138185,473225,GENERATOR
1000640,775905,155930,GENERATOR
1000641,242731,407814,GENERATOR
1000642,229675,844979,GENERATOR
1000643,505359,197260,GENERATOR
1000644,907664,835330,GENERATOR
1000645,159895,852416,GENERATOR
1000646,206037,118395,LOAD
1000647,537733,892312,GENERATOR
1000648,312654,150971,LOAD
1000649,505359,995483,GENERATOR
1000650,505359,851094,GENERATOR
1000651,245368,445404,GENERATOR
1000652,139213,602281,GENERATOR
1000653,709294,200912,GENERATOR
1000654,505359,916941,GENERATOR
1000655,555561,410177,GENERATOR
1000656,138185,179474,GENERATOR
1000657,138185,683327,GENERATOR
1000658,505359,492023,GENERATOR
1000659,280774,129649,LOAD
1000660,725439,102291,GENERATOR
1000661,138185,214773,GENERATOR
1000662,245368,421380,GENERATOR
1000663,211345,331788,INTERTIE
1000664,725439,233734,GENERATOR
1000665,680164,415606,INTERTIE
1000666,211849,977347,INTERTIE
1000667,187496,272251,GENERATOR
1000668,139213,182906,GENERATOR
1000669,505359,689985,GENERATOR
1000670,154881,670863,GENERATOR
1000671,505359,832525,GENERATOR
1000672,187496,166407,GENERATOR
1000673,725439,134646,GENERATOR
1000674,712391,199573,GENERATOR
1000675,907664,725123,GENERATOR
1000676,635750,723251,GENERATOR
1000677,410435,142197,GENERATOR
1000678,505359,197335,GENERATOR
1000679,505359,737503,GENERATOR
1000680,831958,172299,GENERATOR
1000681,735081,174263,LOAD
1000682,172142,131873,GENERATOR
1000683,410435,566311,GENERATOR
1000684,725439,127784,GENERATOR
1000685,138185,505136,GENERATOR
1000686,709294,111727,GENERATOR
1000687,505359,434639,GENERATOR
1000688,505359,116743,GENERATOR
1000689,259501,105870,GENERATOR
1000690,139213,113993,GENERATOR
1000691,505359,153153,GENERATOR
1000692,187997,840093,GENERATOR
1000693,505359,181382,GENERATOR
1000694,161295,928918,GENERATOR
1000695,138185,673497,GENERATOR
1000696,339577,228662,INTERTIE
1000697,621200,751159,INTERTIE
1000698,505359,115844,GENERATOR
1000699,139213,346109,GENERATOR
1000700,670463,127581,INTERTIE
1000701,113586,685873,GENERATOR
1000702,505359,418791,GENERATOR
1000703,364336,447333,INTERTIE
1000704,139213,695558,GENERATOR
1000705,980919,984603,GENERATOR
1000706,505359,187788,GENERATOR
1000707,167125,945442,INTERTIE
1000708,712391,891512,INTERTIE
1000709,139213,206218,GENERATOR
1000710,503624,127688,GENERATOR
1000711,505359,170140,GENERATOR
1000712,505359,673363,GENERATOR
1000713,139213,563237,GENERATOR
1000714,307817,885501,INTERTIE
1000715,153531,308762,GENERATOR
1000716,417454,134222,GENERATOR
1000717,339577,719695,INTERTIE
1000718,417454,176680,GENERATOR
1000719,139213,802728,GENERATOR
1000720,153531,111370,GENERATOR
1000721,108158,524179,LOAD
1000722,459106,117871,INTERTIE
1000723,393170,160098,GENERATOR
1000724,505359,179366,GENERATOR
1000725,522779,151240,GENERATOR
1000726,907664,155705,GENERATOR
1000727,640802,994050,GENERATOR
1000728,211849,836721,INTERTIE
1000729,171989,120783,GENERATOR
1000730,211849,266436,GENERATOR
1000731,417454,113373,GENERATOR
