"resource_xref","resource_mask","dyn_label","gen_type","max_bid"
1000789,425019,,,
1000790,159227,,,
1000791,245316,,,
1000792,321417,,,
1005554,445587,,,
1000794,121961,,,
1000799,673497,,,
1000800,386425,,,
1000802,163987,,,
1000805,777950,,,
1000806,209467,,,
1000810,182906,,,
1000812,156866,,,
1000813,174263,,,
1000820,901689,,,
1000821,160752,,,
1000822,356834,,,
1000823,196445,,,
1000825,591770,,,
1000826,202562,,,
1000827,176584,,,
1000828,411064,,,
1000830,640035,,,
1000831,747917,,,
1000832,131334,,,
1000833,246089,,,
1000835,168112,,,
1000836,263392,,,
1000840,566311,,,
1000844,189207,,,
1000845,416347,,,
1000847,241464,,,
1000848,858482,,,
1000850,878952,,,
1003022,702302,,,
1000853,875373,,,
1000854,698118,,,
1000856,136437,,,
1000860,928357,,,
1000862,189762,,,
1000863,195469,,,
1000867,156654,,,
1000868,203704,,,
1000869,130224,,,
1000873,367964,,,
1000874,420754,,,
1000875,649909,,,
1000876,105474,,,
1000878,401586,,,
1000879,110000,,,
1000880,780329,,,
1000881,393677,,,
1000886,331788,,,
1000888,117942,,,
1000889,258636,,,
1000890,960427,,,
1000892,147537,,,
1000893,262912,,,
1000894,108312,,,
1000895,573765,,,
1000896,891900,,,
1000898,741263,,,
1000899,852265,,,
1000900,382872,,,
1000901,120775,,,
1000904,755007,,,
1000753,189054,,,83.98
1000698,153037,BUTTVL_7_UNIT 1,,
1000818,475261,,,280.39
1000839,867677,,SOLAR,130.19
1000719,457081,,,200
1000842,780584,,,130
1000771,202220,,,95.42
1000735,118774,,,63
1000849,250314,,,125
1000696,224290,,,100
1000803,288336,,SOLAR,61
1000834,236353,,,60
1000770,271095,,SOLAR,
1000872,973878,,SOLAR,50
1000866,104155,,SOLAR,
1000767,719983,,SOLAR,
1000683,617807,,SOLAR,
1000786,194175,,SOLAR,
1000884,385286,,SOLAR,
1000829,851364,,SOLAR,
1000783,379813,,SOLAR,
1000704,374413,,SOLAR,
1000807,292435,,SOLAR,
1000689,491560,,SOLAR,
1000739,209856,,SOLAR,
1000882,779880,,SOLAR,
1000824,492010,,SOLAR,
1000780,766252,,SOLAR,
1000811,211201,,SOLAR,
1000887,101332,,SOLAR,
1000750,514243,,SOLAR,
1000709,198022,,SOLAR,
1000857,736349,,SOLAR,
1000685,404841,,SOLAR,
1000841,555343,,SOLAR,
1000877,577296,,SOLAR,
1000737,752779,,SOLAR,
1000686,723063,,SOLAR,237.5
1000761,856960,,SOLAR,180
1000734,871297,,,150
1000809,623762,,,144.46
1000768,167201,,,140
1000815,264747,,SOLAR,140
1000728,194654,,,112.7
1000819,670863,,SOLAR,100
1000891,210154,,,94.29
1000808,105576,STANIS_7_UNIT 1,,91
1000870,264638,,SOLAR,60
1000702,705142,,SOLAR,62.5
1000710,133308,,,55.82
1000814,469196,,,55
1000905,209735,,,
1000906,161722,,,
1000907,918309,,,
1000908,385165,,,
1004987,662217,,,
1000026,357513,COLGAT_7_UNIT 2,,175.67
1004988,866974,,,
1000913,156906,,,
1000914,108602,,,
1000915,111370,,,
